observed_unix_seconds,origin,reachable,chunk_body_bytes,metadata_body_bytes,chunk_requests,disconnects,http_503s,error
1789686098.7387207,http://127.0.0.1:47083,1,0,0,0,0,1,
1789686099.0059676,http://127.0.0.1:47083,1,0,0,0,0,1,
1789686099.2594173,http://127.0.0.1:47083,1,0,0,0,0,2,
1789686099.510928,http://127.0.0.1:47083,1,0,0,0,0,2,
1789686099.762407,http://127.0.0.1:47083,1,0,0,0,0,2,
1789686100.0138896,http://127.0.0.1:47083,1,0,0,0,0,2,
1789686100.265316,http://127.0.0.1:47083,1,32768,53581,2,0,2,
1789686100.516661,http://127.0.0.1:47083,1,189131,53581,4,0,2,
1789686100.7679992,http://127.0.0.1:47083,1,347281,53581,5,0,2,
1789686101.019373,http://127.0.0.1:47083,1,501528,53581,8,0,2,
1789686101.270946,http://127.0.0.1:47083,1,657895,53581,10,1,2,
1789686101.5221684,http://127.0.0.1:47083,1,707779,53581,12,1,2,
1789686101.773483,http://127.0.0.1:47083,1,841049,53581,16,1,2,
1789686102.024942,http://127.0.0.1:47083,1,986479,53581,20,2,2,
1789686102.2759833,http://127.0.0.1:47083,1,1139218,53581,22,2,2,
1789686102.5272715,http://127.0.0.1:47083,1,1291738,53581,25,2,2,
1789686102.7786841,http://127.0.0.1:47083,1,1446495,53581,27,3,2,
1789686103.0299459,http://127.0.0.1:47083,1,1587058,53581,29,3,2,
1789686103.2812696,http://127.0.0.1:47083,1,1749333,53581,29,3,2,
1789686103.5329084,http://127.0.0.1:47083,1,1903458,53581,32,3,2,
1789686103.7840877,http://127.0.0.1:47083,1,2058558,53581,33,3,2,
1789686104.03518,http://127.0.0.1:47083,1,2217158,53581,34,3,2,
1789686104.2867315,http://127.0.0.1:47083,1,2366527,53581,38,4,2,
1789686104.5379803,http://127.0.0.1:47083,1,2523120,53581,40,4,2,
1789686104.7895916,http://127.0.0.1:47083,1,2671460,53581,43,4,2,
1789686105.0407882,http://127.0.0.1:47083,1,2832627,53581,44,4,2,
1789686105.2922199,http://127.0.0.1:47083,1,2969998,53581,47,5,2,
1789686105.5437043,http://127.0.0.1:47083,1,3118553,53581,50,5,2,
1789686105.795352,http://127.0.0.1:47083,1,3277356,53581,52,5,2,
1789686106.0467148,http://127.0.0.1:47083,1,3437848,53581,54,6,2,
1789686106.2980099,http://127.0.0.1:47083,1,3579545,53581,56,6,2,
1789686106.5512142,http://127.0.0.1:47083,1,3721737,53581,59,6,2,
1789686106.80311,http://127.0.0.1:47083,1,3885577,53581,59,6,2,
1789686107.0566883,http://127.0.0.1:47083,1,4043704,53581,62,6,2,
1789686107.3083303,http://127.0.0.1:47083,1,4183485,53581,66,7,2,
1789686107.5597308,http://127.0.0.1:47083,1,4343187,53581,67,7,2,
1789686107.8120172,http://127.0.0.1:47083,1,4498887,53581,69,7,2,
1789686108.0635543,http://127.0.0.1:47083,1,4652143,53581,71,7,2,
1789686108.3149679,http://127.0.0.1:47083,1,4803488,53581,73,8,2,
1789686108.566593,http://127.0.0.1:47083,1,4958848,53581,75,8,2,
1789686108.8198047,http://127.0.0.1:47083,1,5123589,53581,77,8,2,
1789686109.0710144,http://127.0.0.1:47083,1,5280536,53581,79,8,2,
1789686109.3228555,http://127.0.0.1:47083,1,5431828,53581,80,8,2,
